stazione_id;data;inquinante;valore
2;01/01/2020;SO2;5
1;02/01/2020;NO2;
2;02/01/2020;C6H6;4.3
2;02/01/2020;NO2;71
2;02/01/2020;O3;33
2;02/01/2020;PM10;154
2;02/01/2020;PM25;129
2;02/01/2020;SO2;7
3;02/01/2020;CO_8h;2
3;02/01/2020;NO2;122
4;02/01/2020;C6H6;4.6
4;02/01/2020;CO_8h;2.7
4;02/01/2020;NO2;134
4;02/01/2020;PM10;179
5;02/01/2020;NO2;
5;02/01/2020;O3;
6;02/01/2020;C6H6;4.9
6;02/01/2020;CO_8h;2.5
6;02/01/2020;NO2;84
6;02/01/2020;PM10;180
6;02/01/2020;PM25;152
7;02/01/2020;NO2;94
7;02/01/2020;O3;17
7;02/01/2020;PM10;179
8;02/01/2020;C6H6;
8;02/01/2020;CO_8h;
8;02/01/2020;NO2;
1;03/01/2020;NO2;
2;03/01/2020;C6H6;3.7
2;03/01/2020;NO2;63
2;03/01/2020;O3;17
2;03/01/2020;PM10;62
2;03/01/2020;PM25;50
2;03/01/2020;SO2;7
3;03/01/2020;CO_8h;1.5
3;03/01/2020;NO2;98
4;03/01/2020;C6H6;3.5
4;03/01/2020;CO_8h;1.7
4;03/01/2020;NO2;125
4;03/01/2020;PM10;66
5;03/01/2020;NO2;
5;03/01/2020;O3;
6;03/01/2020;C6H6;3.3
6;03/01/2020;CO_8h;1.7
6;03/01/2020;NO2;79
6;03/01/2020;PM10;83
6;03/01/2020;PM25;56
7;03/01/2020;NO2;85
7;03/01/2020;O3;13
7;03/01/2020;PM10;59
8;03/01/2020;C6H6;
8;03/01/2020;CO_8h;
8;03/01/2020;NO2;
2;04/01/2020;SO2;7
2;05/01/2020;SO2;6
2;06/01/2020;SO2;6
1;07/01/2020;NO2;
2;07/01/2020;C6H6;2.8
2;07/01/2020;NO2;55
2;07/01/2020;O3;14
2;07/01/2020;PM10;52
2;07/01/2020;PM25;39
2;07/01/2020;SO2;5
3;07/01/2020;CO_8h;1.6
3;07/01/2020;NO2;72
4;07/01/2020;C6H6;2.8
4;07/01/2020;CO_8h;1.8
4;07/01/2020;NO2;62
4;07/01/2020;PM10;61
5;07/01/2020;NO2;
5;07/01/2020;O3;
6;07/01/2020;C6H6;2.4
6;07/01/2020;CO_8h;1.4
6;07/01/2020;NO2;69
