Data/Ora, Biossido di Azoto - µg/m³
2020/02/17 01:00,62.6
2020/02/17 02:00,61.2
2020/02/17 03:00,60.7
2020/02/17 04:00,45.1
2020/02/17 05:00,27.7
2020/02/17 06:00,29.8
2020/02/17 07:00,37.3
2020/02/17 08:00,54.2
2020/02/17 09:00,60.4
2020/02/17 10:00,60.0
2020/02/17 11:00,61.7
2020/02/17 12:00,58.4
2020/02/17 13:00,61.2
2020/02/17 14:00,63.0
2020/02/17 15:00,63.9
2020/02/17 16:00,60.0
2020/02/17 17:00,63.8
2020/02/17 18:00,64.0
2020/02/17 19:00,64.4
2020/02/17 20:00,64.7
2020/02/17 21:00,65.3
2020/02/17 22:00,67.8
2020/02/17 23:00,66.8
2020/02/18 00:00,61.2
2020/02/18 01:00,60.4
2020/02/18 02:00,59.9
2020/02/18 03:00,55.9
2020/02/18 04:00,57.9
2020/02/18 05:00,36.3
2020/02/18 06:00,44.6
2020/02/18 07:00,45.8
2020/02/18 08:00,52.7
2020/02/18 09:00,57.9
2020/02/18 10:00,55.7
2020/02/18 11:00,38.1
2020/02/18 12:00,36.9
2020/02/18 13:00,32.5
2020/02/18 14:00,34.5
2020/02/18 15:00,39.8
2020/02/18 16:00,35.4
2020/02/18 17:00,36.7
2020/02/18 18:00,38.4
2020/02/18 19:00,49.3
2020/02/18 20:00,64.2
2020/02/18 21:00,69.6
2020/02/18 22:00,66.7
2020/02/18 23:00,62.5
2020/02/19 00:00,58.9
2020/02/19 01:00,56.5
2020/02/19 02:00,54.9
2020/02/19 03:00,47.8
2020/02/19 04:00,42.3
2020/02/19 05:00,33.7
2020/02/19 06:00,29.8
2020/02/19 07:00,44.3
2020/02/19 08:00,49.1
2020/02/19 09:00,56.9
2020/02/19 10:00,63.5
2020/02/19 11:00,60.9
2020/02/19 12:00,49.2
2020/02/19 13:00,45.8
2020/02/19 14:00,46.7
2020/02/19 15:00,35.4
2020/02/19 16:00,31.4
2020/02/19 17:00,26.7
2020/02/19 18:00,45.4
2020/02/19 19:00,61.7
2020/02/19 20:00,82.2
2020/02/19 21:00,83.2
2020/02/19 22:00,32.7
2020/02/19 23:00,29.5
2020/02/20 00:00,19.6
2020/02/20 01:00,27.6
2020/02/20 02:00,28.5
2020/02/20 03:00,29.2
2020/02/20 04:00,25.8
2020/02/20 05:00,37.6
2020/02/20 06:00,32.4
2020/02/20 07:00,55.5
2020/02/20 08:00,73.4
2020/02/20 09:00,75.1
2020/02/20 10:00,73.5
2020/02/20 11:00,68.8
2020/02/20 12:00,57.7
2020/02/20 13:00,36.4
2020/02/20 14:00,31.0
2020/02/20 15:00,27.5
2020/02/20 16:00,23.2
2020/02/20 17:00,22.7
2020/02/20 18:00,28.6
2020/02/20 19:00,56.8
2020/02/20 20:00,79.5
2020/02/20 21:00,83.4
2020/02/20 22:00,86.0
2020/02/20 23:00,84.9
2020/02/21 00:00,85.0
2020/02/21 01:00,78.8
2020/02/21 02:00,76.6
2020/02/21 03:00,67.1
2020/02/21 04:00,63.5
2020/02/21 05:00,62.1
2020/02/21 06:00,55.1
2020/02/21 07:00,59.2
2020/02/21 08:00,65.4
2020/02/21 09:00,62.0
2020/02/21 10:00,69.9
2020/02/21 11:00,65.9
2020/02/21 12:00,65.1
2020/02/21 13:00,48.2
2020/02/21 14:00,35.4
2020/02/21 15:00,28.1
2020/02/21 16:00,28.9
2020/02/21 17:00,38.0
2020/02/21 18:00,42.2
2020/02/21 19:00,65.5
2020/02/21 20:00,72.9
2020/02/21 21:00,74.5
2020/02/21 22:00,71.3
2020/02/21 23:00,56.0
2020/02/22 00:00,55.2
2020/02/22 01:00,56.4
2020/02/22 02:00,58.1
2020/02/22 03:00,61.3
2020/02/22 04:00,61.1
2020/02/22 05:00,53.0
2020/02/22 06:00,51.9
2020/02/22 07:00,55.2
2020/02/22 08:00,61.7
2020/02/22 09:00,64.5
2020/02/22 10:00,63.5
2020/02/22 11:00,65.9
2020/02/22 12:00,66.4
2020/02/22 13:00,51.5
2020/02/22 14:00,31.6
2020/02/22 15:00,25.6
2020/02/22 16:00,25.3
2020/02/22 17:00,23.9
2020/02/22 18:00,29.0
2020/02/22 19:00,43.7
2020/02/22 20:00,67.2
2020/02/22 21:00,71.6
2020/02/22 22:00,74.8
2020/02/22 23:00,68.0
2020/02/23 00:00,59.5
2020/02/23 01:00,52.7
2020/02/23 02:00,56.6
2020/02/23 03:00,69.2
2020/02/23 04:00,72.9
2020/02/23 05:00,58.9
2020/02/23 06:00,59.5
2020/02/23 07:00,63.3
2020/02/23 08:00,64.3
2020/02/23 09:00,60.6
2020/02/23 10:00,53.7
2020/02/23 11:00,41.7
2020/02/23 12:00,25.2
2020/02/23 13:00,16.0
2020/02/23 14:00,11.8
2020/02/23 15:00,12.5
2020/02/23 16:00,12.9
2020/02/23 17:00,18.4
2020/02/23 18:00,27.1
2020/02/23 19:00,36.7
2020/02/23 20:00,38.5
2020/02/23 21:00,33.4
2020/02/23 22:00,31.5
2020/02/23 23:00,29.2
2020/02/24 00:00,20.7
