Data/Ora, Biossido di Azoto - µg/m³
2020/02/17 01:00,76.8
2020/02/17 02:00,68.8
2020/02/17 03:00,41.6
2020/02/17 04:00,32.1
2020/02/17 05:00,24.8
2020/02/17 06:00,26.3
2020/02/17 07:00,31.9
2020/02/17 08:00,56.4
2020/02/17 09:00,67.0
2020/02/17 10:00,71.9
2020/02/17 11:00,67.6
2020/02/17 12:00,62.5
2020/02/17 13:00,62.1
2020/02/17 14:00,63.9
2020/02/17 15:00,64.0
2020/02/17 16:00,61.4
2020/02/17 17:00,62.9
2020/02/17 18:00,66.6
2020/02/17 19:00,69.8
2020/02/17 20:00,68.4
2020/02/17 21:00,68.3
2020/02/17 22:00,72.0
2020/02/17 23:00,72.1
2020/02/18 00:00,64.9
2020/02/18 01:00,64.5
2020/02/18 02:00,64.3
2020/02/18 03:00,62.1
2020/02/18 04:00,46.3
2020/02/18 05:00,38.4
2020/02/18 06:00,45.5
2020/02/18 07:00,51.0
2020/02/18 08:00,61.0
2020/02/18 09:00,61.5
2020/02/18 10:00,62.7
2020/02/18 11:00,62.2
2020/02/18 12:00,45.0
2020/02/18 13:00,44.9
2020/02/18 14:00,47.7
2020/02/18 15:00,49.3
2020/02/18 16:00,54.5
2020/02/18 17:00,60.4
2020/02/18 18:00,59.6
2020/02/18 19:00,69.0
2020/02/18 20:00,68.7
2020/02/18 21:00,70.7
2020/02/18 22:00,65.1
2020/02/18 23:00,60.9
2020/02/19 00:00,57.4
2020/02/19 01:00,54.6
2020/02/19 02:00,57.1
2020/02/19 03:00,52.6
2020/02/19 04:00,49.6
2020/02/19 05:00,46.6
2020/02/19 06:00,46.3
2020/02/19 07:00,50.9
2020/02/19 08:00,56.8
2020/02/19 09:00,63.5
2020/02/19 10:00,72.4
2020/02/19 11:00,74.1
2020/02/19 12:00,57.2
2020/02/19 13:00,54.3
2020/02/19 14:00,52.5
2020/02/19 15:00,51.3
2020/02/19 16:00,51.5
2020/02/19 17:00,51.5
2020/02/19 18:00,62.7
2020/02/19 19:00,83.2
2020/02/19 20:00,91.2
2020/02/19 21:00,82.1
2020/02/19 22:00,46.0
2020/02/19 23:00,39.2
2020/02/20 00:00,31.4
2020/02/20 01:00,38.0
2020/02/20 02:00,43.5
2020/02/20 03:00,45.4
2020/02/20 04:00,43.5
2020/02/20 05:00,45.1
2020/02/20 06:00,41.8
2020/02/20 07:00,65.8
2020/02/20 08:00,79.2
2020/02/20 09:00,87.4
2020/02/20 10:00,89.3
2020/02/20 11:00,79.7
2020/02/20 12:00,53.2
2020/02/20 13:00,44.9
2020/02/20 14:00,41.7
2020/02/20 15:00,36.0
2020/02/20 16:00,44.9
2020/02/20 17:00,53.0
2020/02/20 18:00,56.8
2020/02/20 19:00,75.6
2020/02/20 20:00,80.1
2020/02/20 21:00,79.9
2020/02/20 22:00,75.6
2020/02/20 23:00,78.8
2020/02/21 00:00,90.4
2020/02/21 01:00,87.2
2020/02/21 02:00,80.8
2020/02/21 03:00,75.6
2020/02/21 04:00,72.7
2020/02/21 05:00,60.4
2020/02/21 06:00,60.2
2020/02/21 07:00,64.9
2020/02/21 08:00,75.0
2020/02/21 09:00,76.5
2020/02/21 10:00,77.6
2020/02/21 11:00,72.2
2020/02/21 12:00,65.9
2020/02/21 13:00,43.0
2020/02/21 14:00,45.4
2020/02/21 15:00,63.2
2020/02/21 16:00,67.2
2020/02/21 17:00,70.8
2020/02/21 18:00,67.6
2020/02/21 19:00,79.2
2020/02/21 20:00,76.6
2020/02/21 21:00,78.5
2020/02/21 22:00,70.0
2020/02/21 23:00,56.2
2020/02/22 00:00,52.4
2020/02/22 01:00,55.0
2020/02/22 02:00,57.5
2020/02/22 03:00,56.5
2020/02/22 04:00,51.4
2020/02/22 05:00,49.2
2020/02/22 06:00,55.4
2020/02/22 07:00,55.0
2020/02/22 08:00,65.1
2020/02/22 09:00,66.9
2020/02/22 10:00,64.0
2020/02/22 11:00,69.4
2020/02/22 12:00,73.0
2020/02/22 13:00,63.7
2020/02/22 14:00,47.5
2020/02/22 15:00,44.6
2020/02/22 16:00,41.0
2020/02/22 17:00,57.1
2020/02/22 18:00,72.6
2020/02/22 19:00,79.6
2020/02/22 20:00,83.4
2020/02/22 21:00,86.3
2020/02/22 22:00,73.8
2020/02/22 23:00,66.2
2020/02/23 00:00,67.0
2020/02/23 01:00,55.7
2020/02/23 02:00,60.9
2020/02/23 03:00,70.4
2020/02/23 04:00,76.5
2020/02/23 05:00,59.9
2020/02/23 06:00,63.5
2020/02/23 07:00,66.5
2020/02/23 08:00,62.8
2020/02/23 09:00,63.4
2020/02/23 10:00,56.6
2020/02/23 11:00,42.0
2020/02/23 12:00,29.7
2020/02/23 13:00,19.1
2020/02/23 14:00,19.6
2020/02/23 15:00,19.8
2020/02/23 16:00,22.3
2020/02/23 17:00,31.6
2020/02/23 18:00,38.2
2020/02/23 19:00,50.4
2020/02/23 20:00,50.3
2020/02/23 21:00,42.2
2020/02/23 22:00,40.5
2020/02/23 23:00,35.4
2020/02/24 00:00,24.5
