Data/Ora, Biossido di Azoto - µg/m³
2020/02/17 01:00,128.7
2020/02/17 02:00,131.4
2020/02/17 03:00,128.5
2020/02/17 04:00,86.1
2020/02/17 05:00,73.2
2020/02/17 06:00,92.9
2020/02/17 07:00,97.1
2020/02/17 08:00,102.5
2020/02/17 09:00,91.6
2020/02/17 10:00,96.4
2020/02/17 11:00,101.8
2020/02/17 12:00,83.9
2020/02/17 13:00,71.2
2020/02/17 14:00,67.7
2020/02/17 15:00,62.3
2020/02/17 16:00,70.3
2020/02/17 17:00,86.9
2020/02/17 18:00,94.3
2020/02/17 19:00,109.1
2020/02/17 20:00,104.8
2020/02/17 21:00,100.9
2020/02/17 22:00,87.7
2020/02/17 23:00,86.9
2020/02/18 00:00,84.4
2020/02/18 01:00,103.2
2020/02/18 02:00,93.3
2020/02/18 03:00,83.3
2020/02/18 04:00,60.3
2020/02/18 05:00,47.7
2020/02/18 06:00,53.2
2020/02/18 07:00,61.3
2020/02/18 08:00,65.5
2020/02/18 09:00,79.6
2020/02/18 10:00,83.9
2020/02/18 11:00,60.1
2020/02/18 12:00,45.0
2020/02/18 13:00,38.8
2020/02/18 14:00,45.6
2020/02/18 15:00,48.6
2020/02/18 16:00,59.1
2020/02/18 17:00,68.3
2020/02/18 18:00,91.7
2020/02/18 19:00,91.8
2020/02/18 20:00,97.2
2020/02/18 21:00,106.9
2020/02/18 22:00,100.7
2020/02/18 23:00,88.2
2020/02/19 00:00,90.8
2020/02/19 01:00,98.2
2020/02/19 02:00,98.2
2020/02/19 03:00,117.7
2020/02/19 04:00,108.7
2020/02/19 05:00,89.9
2020/02/19 06:00,105.2
2020/02/19 07:00,101.9
2020/02/19 08:00,132.6
2020/02/19 09:00,143.3
2020/02/19 10:00,143.8
2020/02/19 11:00,108.0
2020/02/19 12:00,72.8
2020/02/19 13:00,55.8
2020/02/19 14:00,42.6
2020/02/19 15:00,33.2
2020/02/19 16:00,34.9
2020/02/19 17:00,43.5
2020/02/19 18:00,63.5
2020/02/19 19:00,78.9
2020/02/19 20:00,106.1
2020/02/19 21:00,95.3
2020/02/19 22:00,62.0
2020/02/19 23:00,49.7
2020/02/20 00:00,38.4
2020/02/20 01:00,65.8
2020/02/20 02:00,74.6
2020/02/20 03:00,92.3
2020/02/20 04:00,99.5
2020/02/20 05:00,104.0
2020/02/20 06:00,84.2
2020/02/20 07:00,100.1
2020/02/20 08:00,123.9
2020/02/20 09:00,118.7
2020/02/20 10:00,123.7
2020/02/20 11:00,96.6
2020/02/20 12:00,79.7
2020/02/20 13:00,58.9
2020/02/20 14:00,47.7
2020/02/20 15:00,58.5
2020/02/20 16:00,50.6
2020/02/20 17:00,49.0
2020/02/20 18:00,65.6
2020/02/20 19:00,109.3
2020/02/20 20:00,136.4
2020/02/20 21:00,134.3
2020/02/20 22:00,158.9
2020/02/20 23:00,155.3
2020/02/21 00:00,159.3
2020/02/21 01:00,142.7
2020/02/21 02:00,140.3
2020/02/21 03:00,110.5
2020/02/21 04:00,102.7
2020/02/21 05:00,88.1
2020/02/21 06:00,93.7
2020/02/21 07:00,111.3
2020/02/21 08:00,109.2
2020/02/21 09:00,95.8
2020/02/21 10:00,92.2
2020/02/21 11:00,93.6
2020/02/21 12:00,76.4
2020/02/21 13:00,50.9
2020/02/21 14:00,42.9
2020/02/21 15:00,34.7
2020/02/21 16:00,40.6
2020/02/21 17:00,64.7
2020/02/21 18:00,94.0
2020/02/21 19:00,104.7
2020/02/21 20:00,107.3
2020/02/21 21:00,102.1
2020/02/21 22:00,89.3
2020/02/21 23:00,68.4
2020/02/22 00:00,66.6
2020/02/22 01:00,65.0
2020/02/22 02:00,72.6
2020/02/22 03:00,74.1
2020/02/22 04:00,97.3
2020/02/22 05:00,98.2
2020/02/22 06:00,106.3
2020/02/22 07:00,107.5
2020/02/22 08:00,107.7
2020/02/22 09:00,109.3
2020/02/22 10:00,121.5
2020/02/22 11:00,81.2
2020/02/22 12:00,65.5
2020/02/22 13:00,79.8
2020/02/22 14:00,55.9
2020/02/22 15:00,43.8
2020/02/22 16:00,43.4
2020/02/22 17:00,47.6
2020/02/22 18:00,62.4
2020/02/22 19:00,74.2
2020/02/22 20:00,104.5
2020/02/22 21:00,90.2
2020/02/22 22:00,90.9
2020/02/22 23:00,99.7
2020/02/23 00:00,84.0
2020/02/23 01:00,80.9
2020/02/23 02:00,90.0
2020/02/23 03:00,107.9
2020/02/23 04:00,93.2
2020/02/23 05:00,89.5
2020/02/23 06:00,92.9
2020/02/23 07:00,85.1
2020/02/23 08:00,76.5
2020/02/23 09:00,79.5
2020/02/23 10:00,75.2
2020/02/23 11:00,52.9
2020/02/23 12:00,31.9
2020/02/23 13:00,22.7
2020/02/23 14:00,20.9
2020/02/23 15:00,20.3
2020/02/23 16:00,22.0
2020/02/23 17:00,35.6
2020/02/23 18:00,39.9
2020/02/23 19:00,56.9
2020/02/23 20:00,57.3
2020/02/23 21:00,58.6
2020/02/23 22:00,46.3
2020/02/23 23:00,35.6
2020/02/24 00:00,28.1
